band,channel,t_statistic,p_value,cohen_d,p_value_corrected,significant
theta,1Z,1.3976995275469282,0.1755400028765589,0.2853042213515912,0.9894072889406047,False
theta,2Z,-0.6024822674506819,0.5527474782939861,-0.12298117786076639,0.994414317839561,False
theta,3Z,0.1605769123826554,0.8738286719279807,0.03277762498409229,0.994414317839561,False
theta,4Z,-1.9490446333842828,0.06358892835428193,-0.39784706980845,0.7147116434619283,False
theta,6Z,0.3240913460559361,0.7487977535735442,0.06615486899073407,0.994414317839561,False
theta,7Z,1.641730140427461,0.1142505420819472,0.3351167616162543,0.8704281978476568,False
theta,8Z,-0.770945821047629,0.4485869915722298,-0.1573686567414769,0.994414317839561,False
theta,9Z,0.7608019294715478,0.4545051015485836,0.15529804354418392,0.994414317839561,False
theta,1L,1.290652179908379,0.20964823680322414,0.26345327301552696,0.9906936617717541,False
theta,2L,-0.7965512339562619,0.4338574106364206,-0.16259533976476226,0.994414317839561,False
theta,3L,-0.658656062151653,0.5166566857296557,-0.1344476056885361,0.994414317839561,False
theta,4L,-0.1787221918434871,0.8597208084247532,-0.03648151464402908,0.994414317839561,False
theta,5L,1.9034335934668996,0.06957234367560845,0.3885367552721747,0.7147116434619283,False
theta,6L,1.2357319822503583,0.22903133040959905,0.25224273461261476,0.9906936617717541,False
theta,7L,1.404769548504271,0.17345205520330245,0.2867473833362807,0.9894072889406047,False
theta,8L,0.38412235058109606,0.7044161182467794,0.07840864647684656,0.994414317839561,False
theta,9L,0.7353683712848441,0.4695481430113596,0.15010644021911645,0.994414317839561,False
theta,10L,0.2812037331599225,0.7810684644339543,0.057400471667297344,0.994414317839561,False
theta,1R,-0.5143516926644691,0.6119133021732508,-0.10499159961373189,0.994414317839561,False
theta,2R,0.8044876013812722,0.42935315039628186,0.164215343981639,0.994414317839561,False
theta,3R,0.27753741503356216,0.7838468726311796,0.0566520876136057,0.994414317839561,False
theta,4R,-0.8534940074743932,0.4021870919702738,-0.17421873473628627,0.994414317839561,False
theta,5R,-0.14782112901532787,0.8837721933751937,-0.030173861607472877,0.994414317839561,False
theta,6R,-0.020466677505578654,0.9838476148184181,-0.004177743051563843,0.999009659538565,False
theta,7R,0.8606408528707334,0.39831902518092765,0.17567757844391899,0.994414317839561,False
theta,8R,-0.38532669628596455,0.7035359989785755,-0.0786544825144166,0.994414317839561,False
theta,9R,0.008059979485806357,0.9936386398636265,0.0016452364231271256,0.999009659538565,False
theta,10R,-0.9209044081640866,0.36665936652759634,-0.18797882515681194,0.994414317839561,False
theta,1LA,1.6426332033477093,0.11406211970896998,0.3353010985629407,0.8704281978476568,False
theta,2LA,-2.2664897583033903,0.03313883529384046,-0.46264528459060655,0.7147116434619283,False
theta,3LA,-0.5461841443668709,0.5901987271580301,-0.1114893716081214,0.994414317839561,False
theta,1LB,1.2420371901385652,0.22673910599965635,0.2535297797833046,0.9906936617717541,False
theta,2LB,1.0585459950730678,0.30079779356834985,0.21607479643297436,0.994414317839561,False
theta,3LB,0.18656288121337633,0.8536391649277615,0.038081988659686816,0.994414317839561,False
theta,4LB,-0.21741161062340425,0.8298047351624166,-0.04437895918199992,0.994414317839561,False
theta,5LB,2.631082200259439,0.014931519745689344,0.5370674051629076,0.586637104902128,False
theta,1LC,-0.36004600488782335,0.722097897719465,-0.07349408299189877,0.994414317839561,False
theta,2LC,0.21026445222993348,0.8353128449919583,0.04292005158409547,0.994414317839561,False
theta,3LC,-0.12223673968040508,0.9037733083096628,-0.02495147000320081,0.994414317839561,False
theta,4LC,0.11528764720385482,0.9092177483603362,0.023532992441287343,0.994414317839561,False
theta,5LC,-1.951837863660015,0.06323767233644044,-0.39841723555091985,0.7147116434619283,False
theta,1LD,-0.19984349331405488,0.8433593630808807,-0.04079288225289467,0.994414317839561,False
theta,2LD,0.8018701212016468,0.4308354817982537,0.16368105307731148,0.994414317839561,False
theta,3LD,-0.6209369619782585,0.5407464181180163,-0.12674822660672438,0.994414317839561,False
theta,4LD,0.6974250528200748,0.4925272192315846,0.14236129277023243,0.994414317839561,False
theta,1RA,0.34841728165121977,0.7306958643522965,0.07112037980108836,0.994414317839561,False
theta,2RA,-0.6875470331048151,0.498613468022741,-0.1403449504392709,0.994414317839561,False
theta,3RA,-0.9690593683044725,0.3425964294490824,-0.19780841523414594,0.994414317839561,False
theta,1RB,-0.15388704944167889,0.8790410830856743,-0.03141206242954669,0.994414317839561,False
theta,2RB,0.3987013479952253,0.6937906926189379,0.08138457186234421,0.994414317839561,False
theta,3RB,-0.6297728736979225,0.5350499621585146,-0.12855184953384557,0.994414317839561,False
theta,4RB,-1.274840636681778,0.21509444103131073,-0.26022575526959923,0.9906936617717541,False
theta,5RB,0.4532576389062984,0.6546105220508576,0.09252082811159162,0.994414317839561,False
theta,1RC,0.4415385969320859,0.6629464163805785,0.09012868868566837,0.994414317839561,False
theta,2RC,1.4525243347365102,0.15986299405974375,0.29649528825667015,0.9894072889406047,False
theta,3RC,-0.1896530275262554,0.851244811573661,-0.03871276213444486,0.994414317839561,False
theta,4RC,-0.8377574643182477,0.4107884609913828,-0.17100652631563268,0.994414317839561,False
theta,5RC,-0.9117809846822419,0.3713421790611704,-0.18611651413699146,0.994414317839561,False
theta,1RD,0.5734761965810591,0.5718877055038804,0.1170603384379678,0.994414317839561,False
theta,2RD,0.06185465670015189,0.9512129599714467,0.012626028927533069,0.994414317839561,False
theta,3RD,-2.0221628980293005,0.05494036207722603,-0.41277227307995645,0.7147116434619283,False
theta,4RD,-0.3178415265717171,0.7534729179426315,-0.06487912993066401,0.994414317839561,False
alpha,1Z,0.03801340476057634,0.9700050187586868,0.00775945375410808,0.9968007375089267,False
alpha,2Z,-0.04773891596004994,0.9623364366189301,-0.009744665414644206,0.994414317839561,False
alpha,3Z,0.23090441572242468,0.8194307162284451,0.0471331664896185,0.994414317839561,False
alpha,4Z,0.5376290229877284,0.5959973764659371,0.10974306476924853,0.994414317839561,False
alpha,6Z,-0.8139187353248353,0.4240383749120833,-0.16614046613643668,0.994414317839561,False
alpha,7Z,-0.4987324762822921,0.6227042523057703,-0.10180334042052744,0.994414317839561,False
alpha,8Z,0.5889137504411738,0.561659145189147,0.12021151592413563,0.994414317839561,False
alpha,9Z,-0.6432223500620058,0.5264414915859164,-0.13129721240048117,0.994414317839561,False
alpha,1L,0.46579879525863543,0.6457404573133154,0.09508078093223242,0.994414317839561,False
alpha,2L,-0.2792513858239544,0.7825476234304631,-0.05700195043614702,0.994414317839561,False
alpha,3L,-2.07570034451145,0.04928730017313165,-0.42370055858102545,0.7147116434619283,False
alpha,4L,-0.7267665932473852,0.4747015195788562,-0.14835060962974533,0.994414317839561,False
alpha,5L,-0.053556809325063175,0.9577507448563023,-0.010932237924828062,0.994414317839561,False
alpha,6L,-3.1474164150030495,0.004510126478840945,-0.6424636854014476,0.41944176253220783,False
alpha,7L,0.19535478518181051,0.8468307435720497,0.03987662854220467,0.994414317839561,False
alpha,8L,0.8336695469907773,0.41304179182188605,0.170172083685384,0.994414317839561,False
alpha,9L,-0.5591365696896129,0.5814726750671985,-0.11413327435580653,0.994414317839561,False
alpha,10L,-1.7042343656005974,0.10181181512304614,-0.347875383153105,0.8704281978476568,False
alpha,1R,0.06606609182800488,0.947896125026345,0.013485684523205792,0.994414317839561,False
alpha,2R,-1.36655596174022,0.18497620906228526,-0.27894706760182253,0.9906936617717541,False
alpha,3R,-0.7372714618947684,0.46841245984809377,-0.15049490696316617,0.994414317839561,False
alpha,4R,0.48384613197878645,0.6330699945850777,0.0987646781139461,0.994414317839561,False
alpha,5R,0.05740198525182465,0.9547207666450652,0.011717131174144647,0.994414317839561,False
alpha,6R,0.8332743223484711,0.41326005969808355,0.17009140879309864,0.994414317839561,False
alpha,7R,-0.3269433189693733,0.7466675961734441,-0.06673702552391407,0.994414317839561,False
alpha,8R,0.2462747281486697,0.8076541988442459,0.0502706183755735,0.994414317839561,False
alpha,9R,0.014728855091892631,0.9883755193840761,0.003006514955877566,0.999009659538565,False
alpha,10R,-0.8074107043752059,0.42770147921522805,-0.16481201988170063,0.994414317839561,False
alpha,1LA,-0.5633035054371703,0.5786791426826952,-0.11498384655351307,0.994414317839561,False
alpha,2LA,-1.2754876138019864,0.21486947953294402,-0.26035781892124643,0.9906936617717541,False
alpha,3LA,-0.3226236944201165,0.7498947506895004,-0.06585528585507416,0.994414317839561,False
alpha,1LB,0.28072886569926686,0.7814281612805054,0.057303539752792544,0.994414317839561,False
alpha,2LB,0.4818014567841568,0.6344998400245377,0.09834731053756539,0.994414317839561,False
alpha,3LB,-0.8147421865213355,0.42357628587166607,-0.1663085524080625,0.994414317839561,False
alpha,4LB,-0.5177130855669126,0.6096025753784811,-0.10567774106673186,0.994414317839561,False
alpha,5LB,2.05286651179612,0.05163156672946695,0.4190396219956399,0.7147116434619283,False
alpha,1LC,-0.4314756746067084,0.6701400384695038,-0.08807460326746537,0.994414317839561,False
alpha,2LC,0.48643640002243754,0.6312607125399519,0.09929341436427797,0.994414317839561,False
alpha,3LC,1.162744898842051,0.2568557660232127,0.23734430859892233,0.994414317839561,False
alpha,4LC,-1.906344592286734,0.06917623269860504,-0.38913096041804457,0.7147116434619283,False
alpha,5LC,-1.5583466473244902,0.1328058958580525,-0.3180961773601578,0.8909746094365664,False
alpha,1LD,-0.6405530971819262,0.5281439559492018,-0.13075235343792704,0.994414317839561,False
alpha,2LD,-1.5527945382796373,0.1341252100227089,-0.3169628578471427,0.8909746094365664,False
alpha,3LD,-1.4991586179447716,0.1474341704238602,-0.3060144714550603,0.9456122654771724,False
alpha,4LD,0.8225193273958773,0.41922756886843127,0.1678960546414267,0.994414317839561,False
alpha,1RA,-0.36099570763291594,0.7213973452971798,-0.07368794025296521,0.994414317839561,False
alpha,2RA,-1.2902821884166953,0.20977445115060514,-0.2633777488185439,0.9906936617717541,False
alpha,3RA,0.069591621166143,0.9451202322959773,0.014205330185843336,0.994414317839561,False
alpha,1RB,0.7670056982048291,0.4508801651437111,0.1565643825340816,0.994414317839561,False
alpha,2RB,0.5557724386227595,0.5837328994693605,0.11344657397733691,0.994414317839561,False
alpha,3RB,0.514041852928764,0.6121265036446092,0.10492835384252222,0.994414317839561,False
alpha,4RB,0.10251580131361582,0.9192358407663943,0.020925950315908347,0.994414317839561,False
alpha,5RB,1.5600720474707563,0.13239808740852305,0.3184483731901974,0.8909746094365664,False
alpha,1RC,-0.40935356478557566,0.6860674092742104,-0.08355894650949973,0.994414317839561,False
alpha,2RC,-1.3613172672256173,0.18660212201509335,-0.277877723561898,0.9906936617717541,False
alpha,3RC,-0.8543556028659679,0.4017195033662472,-0.17439460715912722,0.994414317839561,False
alpha,4RC,2.0004738566928193,0.057389966430955994,0.4083450160562472,0.7147116434619283,False
alpha,5RC,0.9758399534362318,0.33929652928779586,0.19919249637833866,0.994414317839561,False
alpha,1RD,0.14813169287003702,0.8835298603469236,0.030237255188855307,0.994414317839561,False
alpha,2RD,0.3092707013996488,0.7598999763638028,0.06312961756848323,0.994414317839561,False
alpha,3RD,-0.048273385625420565,0.9619151071444406,-0.009853763578240382,0.994414317839561,False
alpha,4RD,0.2376142619004543,0.8142842048144492,0.048502808105346545,0.994414317839561,False
beta,1Z,-0.34286673068845214,0.7348126329238123,-0.06998737833024715,0.994414317839561,False
beta,2Z,0.19140025148132603,0.8498916467269957,0.039069412730802416,0.994414317839561,False
beta,3Z,-0.1955522856434574,0.8466779376808098,-0.039916943155121246,0.994414317839561,False
beta,4Z,-1.6863825274575401,0.10524163168672321,-0.3442313919513347,0.8704281978476568,False
beta,6Z,-0.4732400442298271,0.6405026104346041,-0.09659971951793492,0.994414317839561,False
beta,7Z,1.2505809824146716,0.22366094765998898,0.255273774078704,0.9906936617717541,False
beta,8Z,1.9895348523199392,0.05866178954551279,0.40611210113894464,0.7147116434619283,False
beta,9Z,0.6227851995436735,0.5395522020510077,0.12712549651995023,0.994414317839561,False
beta,1L,0.8028214264812742,0.43029637270487875,0.16387523745437008,0.994414317839561,False
beta,2L,0.08830847281636703,0.9303959198097498,0.01802589153037818,0.994414317839561,False
beta,3L,-0.06256832791083529,0.9506508228869933,-0.012771706453390454,0.994414317839561,False
beta,4L,-2.708139081454496,0.012544986799617287,-0.5527965751710872,0.586637104902128,False
beta,5L,-2.5429058643339952,0.01818307844680863,-0.5190684859624427,0.586637104902128,False
beta,6L,-3.4912136896984074,0.0019697864195037033,-0.712641010231705,0.3663802740276888,False
beta,7L,0.5736770382915743,0.5717540282169791,0.11710133508045367,0.994414317839561,False
beta,8L,0.7798110054543461,0.44345328941139894,0.1591782549308215,0.994414317839561,False
beta,9L,0.7869699148223495,0.43933389940236756,0.16063956118635803,0.994414317839561,False
beta,10L,-2.168008610910053,0.0407521401724088,-0.44254290455748185,0.7147116434619283,False
beta,1R,-1.1102297697390193,0.2783728827623474,-0.2266247027590215,0.994414317839561,False
beta,2R,-0.5032182463706568,0.619596135002014,-0.10271899440552186,0.994414317839561,False
beta,3R,0.053145439268933024,0.9580749416516854,0.010848267363746479,0.994414317839561,False
beta,4R,0.8146127461202222,0.42364890201220673,0.16628213049682677,0.994414317839561,False
beta,5R,1.0574785776073474,0.30127410768790186,0.21585691075517854,0.994414317839561,False
beta,6R,-1.057377932546494,0.3013190461881255,-0.21583636666815997,0.994414317839561,False
beta,7R,0.35749682791513565,0.7239795370296527,0.07297373442130398,0.994414317839561,False
beta,8R,-0.6782117959295351,0.504404270405879,-0.1384394031303295,0.994414317839561,False
beta,9R,-0.49892839028859454,0.6225683562523228,-0.10184333119960289,0.994414317839561,False
beta,10R,0.509078222079845,0.6155467559743304,0.10391515693823976,0.994414317839561,False
beta,1LA,0.2826924806352253,0.7799411101402546,0.057704360973159716,0.994414317839561,False
beta,2LA,-1.1500478040956046,0.26194206633466094,-0.23475252498687507,0.994414317839561,False
beta,3LA,-0.06107064297236717,0.9518305335473671,-0.012465992795498912,0.994414317839561,False
beta,1LB,0.3915129185552147,0.6990218891012834,0.07991723984734202,0.994414317839561,False
beta,2LB,0.6239691334454875,0.5387879582726988,0.12736716601566914,0.994414317839561,False
beta,3LB,0.013780678722551044,0.9891237991842106,0.002812969264956598,0.999009659538565,False
beta,4LB,2.5248967372821283,0.018923777577487998,0.5153923882966072,0.586637104902128,False
beta,5LB,0.3432881395659861,0.7344997926187392,0.07007339805716692,0.994414317839561,False
beta,1LC,0.7764582077521185,0.44539062681245056,0.15849386796571868,0.994414317839561,False
beta,2LC,0.6786807962786796,0.5041124418589218,0.13853513742571213,0.994414317839561,False
beta,3LC,-0.3431779217268272,0.7345816102387193,-0.0700508999349593,0.994414317839561,False
beta,4LC,0.13856847636022213,0.8909972551550798,0.028285171793121445,0.994414317839561,False
beta,5LC,-0.3780732691278588,0.7088430679293125,-0.07717388289576618,0.994414317839561,False
beta,1LD,0.7268680574936711,0.4746405392823301,0.14837132093229008,0.994414317839561,False
beta,2LD,-1.628725380700869,0.11699303734511515,-0.3324621761531172,0.8704281978476568,False
beta,3LD,-1.6542560185304567,0.11166023731277751,-0.3376735957773077,0.8704281978476568,False
beta,4LD,2.0054626478964392,0.05681810162903506,0.40936334879642666,0.7147116434619283,False
beta,1RA,-1.1724565491850505,0.2530150052182283,-0.23932669092397849,0.994414317839561,False
beta,2RA,0.28896954269017394,0.7751932559562212,0.0589856608996939,0.994414317839561,False
beta,3RA,-1.878774244949034,0.07300817863320773,-0.38350318683398904,0.7147116434619283,False
beta,1RB,-0.5612775899999406,0.5800364854856336,-0.11457030829657638,0.994414317839561,False
beta,2RB,0.41017719638794,0.6854716837436532,0.08372706960631834,0.994414317839561,False
beta,3RB,-0.481930007949316,0.6344099010018005,-0.09837355093427208,0.994414317839561,False
beta,4RB,0.3176563295874134,0.7536116023290722,0.06484132675454347,0.994414317839561,False
beta,5RB,-1.2759759321232396,0.21469980531301838,-0.26045749648117333,0.9906936617717541,False
beta,1RC,-0.43585331830156887,0.6670066010385871,-0.08896818604480872,0.994414317839561,False
beta,2RC,0.0008538248525288611,0.999326108947797,0.00017428626820023373,0.999326108947797,False
beta,3RC,-0.25088115674653316,0.8041337132208111,-0.0512109016756843,0.994414317839561,False
beta,4RC,1.4168138450967325,0.16994070162180266,0.2892059150831367,0.9894072889406047,False
beta,5RC,1.0991898531981115,0.2830583101425537,0.2243711892316768,0.994414317839561,False
beta,1RD,-0.16409216417220282,0.871092083972114,-0.03349517275090868,0.994414317839561,False
beta,2RD,-1.0331028611137996,0.3122971932867614,-0.2108812384615172,0.994414317839561,False
beta,3RD,0.7760512829617748,0.44562610857900253,0.15841080479071612,0.994414317839561,False
beta,4RD,0.05090651662328305,0.9598395432837002,0.010391249192462764,0.994414317839561,False
