p_id ,knows_greek,is _guessed,nd_focus,nd_mental_demand,nd_physical_demand,nd_temp_demand,nd_perf,nd_effort,nd_frustration,d_focus,d_mental_demand,d_physical_demand,d_temp_demand,d_perf,d_effort,d_frustration
1,2,1,7,3,1,4,6,5,2,5,6,1,5,6,5,2
2,2,3,6,4,1,6,4,5,1,4,6,1,7,3,6,1
3,6,2,5,3,1,4,5,3,1,3,5,3,4,4,4,4
4,2,3,7,6,1,4,5,5,2,5,6,1,5,4,5,3
5,2,3,5,5,2,4,5,4,2,4,6,4,5,4,5,4
6,2,5,2,1,1,5,4,5,1,2,6,1,7,2,7,4
7,3,3,6,2,1,1,6,3,1,4,6,1,5,4,5,1
8,3,4,6,6,1,4,3,7,1,1,7,1,6,1,7,2
9,3,3,6,5,2,4,4,4,2,5,5,2,4,5,4,2
10,5,3,6,3,3,5,6,5,2,6,4,4,5,6,5,2
11,1,2,4,6,1,5,6,6,5,6,6,,6,6,6,4
13,2,3,2,6,1,5,3,5,5,2,5,1,5,3,5,5
14,4,2,4,7,6,5,5,6,4,4,6,5,5,5,6,4
15,6,2,6,3,1,2,5,3,1,5,4,1,3,4,3,2
16,3,4,4,5,3,6,5,6,4,5,5,3,6,5,6,4
17,4,4,6,4,1,3,4,5,1,2,6,1,6,2,6,3
18,1,2,6,4,3,2,5,4,2,3,6,5,5,4,6,2
19,1,4,6,4,3,5,5,6,4,4,6,4,6,5,6,4
20,2,6,4,5,2,5,3,7,6,3,3,2,5,3,7,6
20.5,2,5,6,3,2,5,5,3,3,2,7,2,5,2,5,5
21,1,5,6,6,1,4,5,6,4,4,6,1,4,4,6,4
22,5,3,5,5,2,4,4,5,1,5,5,2,5,3,5,1
23,1,4,5,5,2,3,3,5,4,1,7,5,3,2,7,5
24,2,2,3,5,2,1,6,6,1,4,5,1,2,5,5,1
25,4,4,3,4,2,1,3,4,1,2,5,3,2,3,4,1
26,2,2,7,2,1,3,6,2,1,3,5,1,4,5,5,2
27,4,2,5,6,2,5,5,6,3,3,6,2,6,4,6,2
28,1,5,5,7,1,7,4,7,5,3,7,1,7,2,7,6
29,2,2,4,5,2,4,4,5,3,3,6,5,5,3,5,3
30,3,2,5,3,2,2,5,4,2,4,4,2,4,5,5,2
31,5,4,7,3,1,1,6,5,2,2,6,1,5,3,7,3
12,3,5,3,6,3,6,4,6,5,3,6,3,6,3,6,6